REMEBERING, REMEMBERING
AHAID, AHEAD
RECLASP, RE CLASP
BEACUSE, BECAUSE
OPRESSORS, OPPRESSORS
TRUELY, TRULY
ALL?, ALL
OOO, OH
6PM, SIX P M
WHOS, WHO'S
WEVE, WE'VE
NEVERMIND, NEVER MIND
CELLPHONE, CELL PHONE
VENGENCE, VENGEANCE
BEGGINING, BEGINNING
IMDI'M, I'M
THHE, THE
HUMM, HMM
OOOH, OH
MEE, ME
RAIN?, RAIN
LALALA, LA
INVISIBLE?, INVISIBLE
50TH, FIFTIETH
YAYAYAYA, YA
YEH, YEAH
'BOUT, ABOUT
THISYOU'RE, THIS YOU'RE
KNOWW, KNOW
AFLYGO, A FLY GO
GLANCESDANCER, GLANCE DANCER
SWEETLYA, SWEETLY A
OOHH, OH
ABAAAA, ABA
BOBBLIN, BUBBLING
HAPPPY, HAPPY
FAAAMILY, FAMILY
HUNGOUT, HUNG OUT
SNOWCONES, SNOW CONES
ITLL, IT'LL
AMMEND, AMEND
MISCHIEFE, MISCHIEF
BABYS, BABIES
ROLLERCOSTER, ROLLER COASTER
CENTRIES, CENTURIES
POSABILITY, POSSIBILITY
TEASTACK, TEA STACK
SKATEPARK, SKATE PARK
GOT'S, GOT
LONLIEST, LONELIEST
BABABA, BA
BABA, BA
HARM?, HARM
IOU, I O U
USA, U S A
PLACE?, PLACE
H20, H TWO O
AW, A W
PREVERSE, PERVERSE
AF4AID, AFRAID
SHOWIMG, SHOWING
H8GH, HIGH
PHONIX, PHOENIX
RISIST, RESIST
SWINMING, SWIMMING
NUMBNUT, NUMB NUT
TRIN, TRAIN
HEEEE, HE
HIGHLINE, HIGH LINE
AFRIAD, AFRAID
UNPISSED, UN PISSED
WELL-DONE, WELL DONE
HEAVENLIES, HEAVEN LIES
WONNA, WANNA
BOOYAH, BOO YAH
CURSE?, CURSE
QUATER, QUARTER
SEE'S, SEES
OHHHH, OH
JOINNNN, JOIN
THATXXX, THAT
20TH, TWENTIETH
ENOUGH?, ENOUGH
THER, THEIR
MYYY, MY
KEEPIN', KEEPING
SARANLIVE, SARAN LIVE
NO-OH-OH-OH-OH-BODY, NOBODY
COMES?, COMES ?
TIDE?, TIDE ?
LITTLE?, LITTLE ?
BATHROOM?, BATHROOM ?
GONE?, GONE ?
HORIZON?, HORIZON ?
LIMOSINES, LIMOUSINES
PC, P C
TRYIN, TRYING
DOORD, DOOR
DWIN, THE WIND
TORCHIN, TORCHING
MUSICALL, MUSICAL
BRUSING, BRUISING
SAY'S, SAYS
SINGALONG, SING ALONG
DAD/GUIDE, DAD GUIDE
DO/MOVE, DO MOVE
MAKIN, MAKING
OHHH, OH
OL, OLD
GE, GET
POMMEGRANTE, POMEGRANATE
INNYOUR, IN YOUR
LVE, HAVE
SLIPING, SLIPPING
HAPPENENED, HAPPENED
FANSLEFT, FANS LEFT
DREAMAKER, DREAM MAKER
FAID, FADE
TWOTHREEFOURFIVE, TWO THREE FOUR FIVE
SLOTTERS, SLAUGHTERS
TRIPTYLINE, TRIPTYCH LINE
NOTHIG, NOTHING
AYYY, AY
WANNNA, WANNA
MANN, MAN
BREATING, BREATHING
SITUATIOSN, SITUATIONS
TICKAND, TICK AND
OURHEARTSWOUR, OUR HEARTS OUR
WITHA, WITH A
MILLWAUKE, MILWAUKEE
PILLSO, PILLS OH
24TH, TWENTY FOURTH
SOMETHING ABOUT TAMPONS LOL,
SMOKIN, SMOKING
GOTTT, GOT
SOULMATE, SOUL MATE
MAHAVI, MOHAVE
EVERTHING, EVERYTHING
PSHYCHO, PSYCHO
LONLY, LONELY
HIGHHHH, HIGH
WHOES, WHO IS
UPP, UP
OUU, OH
OUUU, OH
CANTECAN'T, CAN'T E CAN'T
EXPLIAN, EXPLAIN
GOUNG, GOING
MAISY'S, MAISY IS
EVERRYTHING, EVERYTHING
AHHH, AH
TUHUNNEEE, TO ME
GO?, GO
REMMBER, REMEMBER
ACTIVTY, ACTIVITY
HIDIING, HIDING
TRANQULITY, TRANQUILITY
BLOODFLOW, BLOOD FLOWED
WIRTING, WRITING
BEGAIN, BEGUN
DESCOVERED, DISCOVERED
YOU?, YOU
"GO", GO
I' M, I'M
I LL, I'LL
UPFRONT, UP FRONT
FROM?, FROM
HEY-OO, HEY OH
MISLETOE, MISTLETOE
MULTI-COLOURED, MULTI COLOURED
ADMIRIAL, ADMIRAL
FAVORITE, FAVOURITE
ASSUMMED, ASSUMED
ANAMIT, A MAN IT
FACSISTS, FACISTS
AFEW, A FEW
THENN, THEN
UNCLLE, UNCLE
MEGALAND, MEGA LAND
GODXX, GOD
DEAAD, DEAD
GNA, GONNA
BROGHT, BROUGHT
LALALALALALALALALALA,
FOUR/FOUR, FOUR FOUR
TKAING, TAKING
TIMEE, TIME
THISNOW, THIS NOW
SOMETHIGN, SOMETHING
CAREE, CARE
RHYTHME, RHYTHM
FLYY, FLY
ROSESSSSS, ROSES
GOOO, GO
O~,
UNDERTSNAD, UNDERSTAND
BOOREED, BORED
BEFOREE, BEFORE
WAHT, WHAT
LIFE?, LIFE
ALLS, ALL
GURANTEES, GUARANTEES
EVERYTING, EVERYTHING
FIGHTNING, FIGHTING
ROIGHT, RIGHT
HI-IDE, HIDE
UNDERCALL, UNDER CALL
MISISIPI, MISSISSIPPI
I?, I
PLAYIN, PLAYING
SOULMATES, SOUL MATES
PLAYIN', PLAYING
OUTSIDE?, OUTSIDE
THE?, THE
HALLELEUGHA, HALLELUJAH
'FLO', FLOOR
FLY?, FLY
BIILLS, BILLS
A', A
46TH, FORTY SIXTH
25TH, TWENTY FIFTH
DO?, DO
ERECED, ERECTED
PROPROSAL, PROPOSAL
CHILVARY, CHIVALRY
ALGORITHM, ALGORITHM
GOING?, GOING
DRAINING?, DRAINING
26TH, TWENTY SIXTH
MAJIC, MAGIC
SAVEGES, SAVAGE'S
THS, THIS
BECUASE, BECAUSE
AMORA, A MORA
YEAH?, YEAH
SHOULDERPADS, SHOULDER PADS
MAVERIC, MAVERICK
COLDLYWHY, COLDLY WHY
BABABABABY, BABY
COMEONE, COME ON
CRACKAJACK, CRACK A JACK
NAME?, NAME
TOOO, TOO
BS, B S
TENNESY, TENNESSEE
SHOULDVE, SHOULD'VE
ALRIGHT-O, ALRIGHT OH
ELSE?, ELSE
OKALHUSABAH, OKALOOSA BAH
MX-16's, M X SIXTEEN'S
XXX,
SHIF, SHIFT
SAUVAGES, SAVAGES
'TIS, TIS
BAK, BACK
MOROCO, MOROCCO
MANOGOMY, MONOGAMY
VENGANCE, VENGEANCE
FREINDSHIP, FRIENDSHIP
WICH, WHICH
YOUTRIED, YOU TRIED
REALITYSHAPE, REALITY SHAPE
MANYLOVE, MANY LOVE
I'MSMOKE, I'M SMOKE
STRANGERSDREAMING, STRANGERS DREAMING
HAHAA, HA HA
EXSIST, EXIST
CHAMPANGE, CHAMPAGNE
RYTHM, RHYTHM
SEALIFE, SEA LIFE
BOUNDLE, BUNDLE
STEPMASTER, STEP MASTER
EHH, EH
QUCKLY, QUICKLY
CLOSSING, CLOSING
YEHHHH, YEAH
XXXXXXXX, XXX
EBAY, E BAY
OVERNAP, OVER NAP
NOONE, NO ONE
WONT, WON'T
